ProbNum=3, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=1, TotalLiterals=18, Satisfiability=U, Time=219 μs
ProbNum=4, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=2, TotalLiterals=18, Satisfiability=S, Time=14 μs, Assignment=1,0,0,0
ProbNum=5, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=3, TotalLiterals=18, Satisfiability=S, Time=68 μs, Assignment=0,0,1,1
ProbNum=6, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=4, TotalLiterals=18, Satisfiability=S, Time=83 μs, Assignment=1,1,0,1
ProbNum=7, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=5, TotalLiterals=18, Satisfiability=S, Time=6 μs, Assignment=0,0,0,0
ProbNum=8, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=6, TotalLiterals=18, Satisfiability=U, Time=190 μs
ProbNum=9, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=7, TotalLiterals=18, Satisfiability=U, Time=184 μs
ProbNum=10, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=8, TotalLiterals=18, Satisfiability=U, Time=238 μs
ProbNum=11, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=9, TotalLiterals=18, Satisfiability=S, Time=8 μs, Assignment=0,0,0,0
ProbNum=12, NumVars=4, NumClauses=9, LitsPerClause=2, TrialNum=10, TotalLiterals=18, Satisfiability=S, Time=22 μs, Assignment=1,0,0,0
ProbNum=13, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=1, TotalLiterals=24, Satisfiability=S, Time=73 μs, Assignment=0,0,0,1,0,0
ProbNum=14, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=2, TotalLiterals=24, Satisfiability=U, Time=707 μs
ProbNum=15, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=3, TotalLiterals=24, Satisfiability=S, Time=310 μs, Assignment=0,0,1,1,0,1
ProbNum=16, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=4, TotalLiterals=24, Satisfiability=U, Time=613 μs
ProbNum=17, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=5, TotalLiterals=24, Satisfiability=U, Time=794 μs
ProbNum=18, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=6, TotalLiterals=24, Satisfiability=U, Time=857 μs
ProbNum=19, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=7, TotalLiterals=24, Satisfiability=U, Time=1032 μs
ProbNum=20, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=8, TotalLiterals=24, Satisfiability=S, Time=430 μs, Assignment=0,0,0,0,1,1
ProbNum=21, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=9, TotalLiterals=24, Satisfiability=U, Time=873 μs
ProbNum=22, NumVars=6, NumClauses=12, LitsPerClause=2, TrialNum=10, TotalLiterals=24, Satisfiability=S, Time=101 μs, Assignment=0,0,0,0,1,0
ProbNum=23, NumVars=8, NumClauses=14, LitsPerClause=2, TrialNum=1, TotalLiterals=28, Satisfiability=S, Time=532 μs, Assignment=1,1,0,1,1,0,1,0
ProbNum=24, NumVars=8, NumClauses=14, LitsPerClause=2, TrialNum=2, TotalLiterals=28, Satisfiability=S, Time=239 μs, Assignment=0,0,0,0,0,1,0,0
ProbNum=25, NumVars=8, NumClauses=14, LitsPerClause=2, TrialNum=3, TotalLiterals=28, Satisfiability=S, Time=566 μs, Assignment=0,0,0,1,0,0,1,0
ProbNum=26, NumVars=8, NumClauses=14, LitsPerClause=2, TrialNum=4, TotalLiterals=28, Satisfiability=U, Time=3000 μs
